wrf_date;data;stn_id;temp;rain;windU;windV;pressure
21.12.2023;22.12.2023 09:00;28984;-3.1;0;2.5;4.8;2607.5
21.12.2023;22.12.2023 12:00;28984;-4.3;0;1.2;4.7;2645.4
21.12.2023;22.12.2023 15:00;28984;-4.7;0;0.6;4.4;2583.4
21.12.2023;22.12.2023 18:00;28984;-5.9;0;-0.7;4.1;2398.1
21.12.2023;22.12.2023 21:00;28984;-5.9;0;-1.8;4.2;2263.3
21.12.2023;23.12.2023 00:00;28984;-5.4;0;-3.2;4.1;2073.8
21.12.2023;23.12.2023 03:00;28984;-5.7;0;-4.4;4.2;1885.5
21.12.2023;23.12.2023 06:00;28984;-5.1;0;-5.1;5.1;1684.3
21.12.2023;23.12.2023 09:00;28984;-4.7;0;-4.4;5.2;1458.3
21.12.2023;23.12.2023 12:00;28984;-5.4;0;-3.8;4.9;1376.4
21.12.2023;23.12.2023 15:00;28984;-6.8;0;-2.8;5.1;1292.5
21.12.2023;23.12.2023 18:00;28984;-8;0;-0.9;4.6;1163.6
21.12.2023;23.12.2023 21:00;28984;-10.4;0;0;5;1104.3
21.12.2023;24.12.2023 00:00;28984;-9.6;0;0.3;5.1;1065.9
21.12.2023;24.12.2023 03:00;28984;-7.7;0;0.3;5.5;1034
21.12.2023;24.12.2023 06:00;28984;-7.3;0;1.9;5.3;1050.9
21.12.2023;24.12.2023 09:00;28984;-4.8;0;1.5;5.4;1002.6
21.12.2023;24.12.2023 12:00;28984;-5.7;0;0.4;5.6;1009.3
21.12.2023;24.12.2023 15:00;28984;-4.9;0;-0.2;6.5;1004.6
21.12.2023;24.12.2023 18:00;28984;-5;0;0.2;6.7;933.3
21.12.2023;24.12.2023 21:00;28984;-5;0;-0.3;6.7;874.8
21.12.2023;25.12.2023 00:00;28984;-4.7;0;-1.7;6.1;719.4
21.12.2023;25.12.2023 03:00;28984;-4.1;0;-1.6;8.7;553.4
21.12.2023;25.12.2023 06:00;28984;-2.5;0;1.1;11.3;493.4
21.12.2023;25.12.2023 09:00;28984;-1.9;0;2.5;9.7;362.3
21.12.2023;25.12.2023 12:00;28984;-1;0;8.7;7.5;743.7
21.12.2023;25.12.2023 15:00;28984;-4.3;0.1;6;5.1;1139
21.12.2023;25.12.2023 18:00;28984;-5.4;0;3.3;4;1139.9
21.12.2023;25.12.2023 21:00;28984;-6.2;0;-0.5;4.4;1222.8
21.12.2023;26.12.2023 00:00;28984;-6.5;0;-5.4;1.4;974.6
21.12.2023;26.12.2023 03:00;28984;-5.9;0;-9.1;1.7;553.5
21.12.2023;26.12.2023 06:00;28984;-4.4;0.8;-9;2.2;-66.8
21.12.2023;26.12.2023 09:00;28984;-2.8;1.3;-5.4;6.5;-564.6
21.12.2023;26.12.2023 12:00;28984;-1.4;0.4;7.2;10.8;-510.9
21.12.2023;26.12.2023 15:00;28984;-2.2;0.5;9.3;9.1;-214.1
21.12.2023;26.12.2023 18:00;28984;-6.4;0.2;9.8;10.5;178.6
21.12.2023;26.12.2023 21:00;28984;-7.2;0;5;9.9;301.1
21.12.2023;27.12.2023 00:00;28984;-4.5;0.8;2.6;11.3;240.9
21.12.2023;27.12.2023 03:00;28984;-2.7;0.5;5;10.5;249.6
21.12.2023;27.12.2023 06:00;28984;-1.2;0.4;7.7;9.5;436
21.12.2023;27.12.2023 09:00;28984;-2.2;0.2;7.3;10.4;542.9
21.12.2023;27.12.2023 12:00;28984;-2.3;0.5;6.1;9.8;675.7
21.12.2023;27.12.2023 15:00;28984;-1.1;0.7;4.7;9.6;635.4
21.12.2023;27.12.2023 18:00;28984;-1.2;1.3;4.3;8.2;375.1
21.12.2023;27.12.2023 21:00;28984;-1.4;1.9;4.6;5.7;158.9
21.12.2023;28.12.2023 00:00;28984;-2.6;2.7;6.3;2.3;214.3
21.12.2023;21.12.2023 00:00;35284;-2.2;0;5.3;8.3;2017.6
21.12.2023;21.12.2023 03:00;35284;-0.5;0;6.2;5.2;2015.5
21.12.2023;21.12.2023 06:00;35284;0.2;0.9;6.9;3.9;2154.9
21.12.2023;21.12.2023 09:00;35284;0.3;0.2;6.7;3.3;2291.6
21.12.2023;21.12.2023 12:00;35284;0.5;0;5.7;3.5;2554.3
21.12.2023;21.12.2023 15:00;35284;0.3;0.1;5.6;3;2717.3
21.12.2023;21.12.2023 18:00;35284;0.3;0;3.7;3.1;2722.8
21.12.2023;21.12.2023 21:00;35284;-0.6;0;4.4;3.5;2811.2
21.12.2023;22.12.2023 00:00;35284;-1;0;3.2;2.9;2884.5
21.12.2023;22.12.2023 03:00;35284;-0.8;0;2.4;2.4;2936.5
21.12.2023;22.12.2023 06:00;35284;-1.2;0;1.5;3.1;2922
21.12.2023;22.12.2023 09:00;35284;-0.9;0;0.4;2.5;2802.8
21.12.2023;22.12.2023 12:00;35284;-1.6;0;-1.3;2.1;2789.1
21.12.2023;22.12.2023 15:00;35284;-2;0;-2.9;2.3;2642.8
21.12.2023;22.12.2023 18:00;35284;-2.1;0;-4.2;1.7;2401.4
21.12.2023;22.12.2023 21:00;35284;-3.1;0;-4.4;1.7;2255.2
21.12.2023;23.12.2023 00:00;35284;-4.5;0;-4.4;1.2;2072.2
21.12.2023;23.12.2023 03:00;35284;-5.2;0;-4.4;2.1;1900.2
21.12.2023;23.12.2023 06:00;35284;-5.2;0;-4.1;2.4;1727
21.12.2023;23.12.2023 09:00;35284;-4.1;0;-3.3;2.6;1505.1
21.12.2023;23.12.2023 12:00;35284;-6.9;0;-3;2.3;1473.2
21.12.2023;23.12.2023 15:00;35284;-8;0;-2.3;2.8;1423.9
21.12.2023;23.12.2023 18:00;35284;-8;0;-1.8;3.6;1289.2
21.12.2023;23.12.2023 21:00;35284;-10.2;0;-1;3.5;1271.2
21.12.2023;24.12.2023 00:00;35284;-7.2;0;-1.9;3.7;1215.3
21.12.2023;24.12.2023 03:00;35284;-8.3;0;-0.4;4.2;1230.3
21.12.2023;24.12.2023 06:00;35284;-6.8;0;-0.7;3.7;1255.2
21.12.2023;24.12.2023 09:00;35284;-4.8;0;-1.5;3.5;1176.3
21.12.2023;24.12.2023 12:00;35284;-6.1;0;-2.3;4;1158
21.12.2023;24.12.2023 15:00;35284;-6;0;-1.8;4.6;1184
